year,level_2,value
2013,Paper & Paper Products,1103.8
2013,Printing & Reproduction Of Recorded Media,2352.4
2013,Refined Petroleum Products,51027.0
2013,Chemicals & Chemical Products,50019.7
2013,Pharmaceutical & Biological Products,16920.2
2013,Rubber & Plastic Products,2020.2
2013,Non-Metallic Mineral Products,2630.6
2013,Basic Metal,1044.9
2013,Fabricated Metal Products,9639.6
2013,"Computer, Electronic & Optical Products",93938.2
2013,Electrical Equipment,2666.4
2013,Machinery & Equipment,28987.1
2013,"Motor Vehicles, Trailers & Semi-Trailers",1021.7
2013,Other Transport Equipment,17557.3
2013,Furniture,1300.5
2013,Other Manufacturing Industries,6522.9
2014,"Food, Beverage & Tobacco",10352.0
2014,Textiles & Textile Manufactures,50.4
2014,Wearing Apparel,353.7
2014,"Leather, Leather Products & Footwear",159.2
2014,Wood & Wood Products,367.4
2014,Paper & Paper Products,1143.1
2014,Printing & Reproduction Of Recorded Media,2376.6
2014,Refined Petroleum Products,46359.5
2014,Chemicals & Chemical Products,55340.4
2014,Pharmaceutical & Biological Products,16891.3
2014,Rubber & Plastic Products,2011.2
2014,Non-Metallic Mineral Products,2168.2
2014,Basic Metal,1387.4
2014,Fabricated Metal Products,9653.7
2014,"Computer, Electronic & Optical Products",89463.6
2014,Electrical Equipment,2768.5
2014,Machinery & Equipment,33905.2
2014,"Motor Vehicles, Trailers & Semi-Trailers",1089.2
2014,Other Transport Equipment,17554.6
2014,Furniture,968.9
2014,Other Manufacturing Industries,12277.8
2015,"Food, Beverage & Tobacco",10598.5
2015,Textiles & Textile Manufactures,53.5
2015,Wearing Apparel,259.1
2015,"Leather, Leather Products & Footwear",167.1
2015,Wood & Wood Products,348.9
2015,Paper & Paper Products,1123.8
2015,Printing & Reproduction Of Recorded Media,2251.2
2015,Refined Petroleum Products,32482.8
2015,Chemicals & Chemical Products,44916.5
2015,Pharmaceutical & Biological Products,16721.2
2015,Rubber & Plastic Products,1857.1
2015,Non-Metallic Mineral Products,2121.4
2015,Basic Metal,1161.5
2015,Fabricated Metal Products,8920.4
2015,"Computer, Electronic & Optical Products",98625.4
2015,Electrical Equipment,2712.9
2015,Machinery & Equipment,30561.1
2015,"Motor Vehicles, Trailers & Semi-Trailers",1178.6
2015,Other Transport Equipment,16637.2
2015,Furniture,917.4
2015,Other Manufacturing Industries,11075.6
2016,"Food, Beverage & Tobacco",10149.9
2016,Textiles & Textile Manufactures,59.0
2016,Wearing Apparel,226.9
2016,"Leather, Leather Products & Footwear",149.9
2016,Wood & Wood Products,349.2
2016,Paper & Paper Products,1086.1
2016,Printing & Reproduction Of Recorded Media,1945.6
2016,Refined Petroleum Products,26987.2
2016,Chemicals & Chemical Products,41209.9
2016,Pharmaceutical & Biological Products,17744.8
2016,Rubber & Plastic Products,1854.9
2016,Non-Metallic Mineral Products,1741.0
2016,Basic Metal,1108.4
2016,Fabricated Metal Products,8307.3
2016,"Computer, Electronic & Optical Products",99797.9
2016,Electrical Equipment,2895.3
2016,Machinery & Equipment,27020.9
2016,"Motor Vehicles, Trailers & Semi-Trailers",1237.8
2016,Other Transport Equipment,16724.1
2016,Furniture,856.6
2016,Other Manufacturing Industries,12080.5
2017,"Food, Beverage & Tobacco",10469.9
2017,Textiles & Textile Manufactures,69.9
2017,Wearing Apparel,251.8
2017,"Leather, Leather Products & Footwear",142.4
2017,Wood & Wood Products,343.5
2017,Paper & Paper Products,1038.2
2017,Printing & Reproduction Of Recorded Media,1796.1
2017,Refined Petroleum Products,35926.8
2017,Chemicals & Chemical Products,47943.8
2017,Pharmaceutical & Biological Products,
2017,Rubber & Plastic Products,1905.8
2017,Non-Metallic Mineral Products,1561.7
2017,Basic Metal,1128.8
2017,Fabricated Metal Products,8153.2
2017,"Computer, Electronic & Optical Products",128145.5
2017,Electrical Equipment,3202.2
2017,Machinery & Equipment,31388.8
2017,"Motor Vehicles, Trailers & Semi-Trailers",1432.5
2017,Other Transport Equipment,16304.4
2017,Furniture,912.5
2017,Other Manufacturing Industries,12890.8
